observation_id,candidate_id,moc_wt_pct,training_included,record_status,eligible_for_new_quality_repeat,exclusion_reason,source_commit,source_file,source_sheet,source_row,procedure,raw_result_metadata_json
archived-source-row-1635,moc-e26a47eda9bb84fb,91.8,False,historically_measured_excluded,True,810c3f7 three-seed reset excludes five earlier BO observations,810c3f7d7ecc632e4cfd422977b10b471e526f82,Metal_Sucrose_DesignSpace_fr_T1.xlsx,Design Space,1635,"1 g of ammonium heptamolybdate tetrahydrate dissolved in 5.5 mL of DI water. Separately, 1 g of sucrose dissolved in 2 mL of DI water at 50 °C. The two solutions were then combined. The combined solution was dried at 120 °C in air for 24 hours, then crushed and sieved to 212 microns. 0.6 g of the sieved precursor was carburized at a ramp rate of 10 °C/min to 620 °C for 0.5 hr under 60 sccm of N2 gas. After carburization the sample was cooled under 30 sccm N2 and passivated under 30 sccm 1% O2/N2 for 2 hours.","{""Carburize Temp (°C)"": 620, ""Ramp Rate (°C/min)"": 10, ""Purge Gas"": ""N2"", ""AMT:Sucrose Ratio"": 1, ""Hold Time (hr)"": 0.5, ""Flow Rate (sccm)"": 60, ""Mo (Im3m) weight fraction "": 0, ""sigma"": 0, ""Mo2C(pbcn) weight fraction"": 0, ""sigma.1"": 0, ""MoC(Fm3m) weight fraction"": 91.8, ""sigma.2"": 5.6, ""Rwp"": 4, ""GOF"": 1.4, ""X^2"": 1.87, ""MoO2(P21/c) weight fraction"": 8.2, ""sigma.3"": 5.6, ""MoC Ratio"": ""MoC.66""}"
archived-source-row-1644,moc-be3046a673f68f97,91.5,False,historically_measured_excluded,True,810c3f7 three-seed reset excludes five earlier BO observations,810c3f7d7ecc632e4cfd422977b10b471e526f82,Metal_Sucrose_DesignSpace_fr_T1.xlsx,Design Space,1644,"1 g of ammonium heptamolybdate tetrahydrate dissolved in 5.5 mL of DI water. Separately, 1 g of sucrose dissolved in 2 mL of DI water at 50 °C. The two solutions were then combined. The combined solution was dried at 120 °C in air for 24 hours, then crushed and sieved to 212 microns. 0.6 g of the sieved precursor was carburized at a ramp rate of 10 °C/min to 620 °C for 10 hr under 60 sccm of N2 gas. After carburization the sample was cooled under 30 sccm N2 and passivated under 30 sccm 1% O2/N2 for 2 hours.","{""Carburize Temp (°C)"": 620, ""Ramp Rate (°C/min)"": 10, ""Purge Gas"": ""N2"", ""AMT:Sucrose Ratio"": 1, ""Hold Time (hr)"": 10, ""Flow Rate (sccm)"": 60, ""Mo (Im3m) weight fraction "": 0, ""sigma"": 0, ""Mo2C(pbcn) weight fraction"": 0, ""sigma.1"": 0, ""MoC(Fm3m) weight fraction"": 91.5, ""sigma.2"": 1.83, ""Rwp"": 7.8, ""GOF"": 11.928, ""X^2"": 142.282, ""MoO2(P21/c) weight fraction"": 8.5, ""sigma.3"": 1.83, ""MoC Ratio"": ""MoC.66""}"
archived-source-row-1670,moc-673c39bb62a0c2a1,86.7,False,historically_measured_excluded,True,810c3f7 three-seed reset excludes five earlier BO observations,810c3f7d7ecc632e4cfd422977b10b471e526f82,Metal_Sucrose_DesignSpace_fr_T1.xlsx,Design Space,1670,"1 g of ammonium heptamolybdate tetrahydrate dissolved in 5.5 mL of DI water. Separately, 1 g of sucrose dissolved in 2 mL of DI water at 50 °C. The two solutions were then combined. The combined solution was dried at 120 °C in air for 24 hours, then crushed and sieved to 212 microns. 0.6 g of the sieved precursor was carburized at a ramp rate of 15 °C/min to 620 °C for 0.5 hr under 30 sccm of H2 gas. After carburization the sample was cooled under 30 sccm N2 and passivated under 30 sccm 1% O2/N2 for 2 hours.","{""Carburize Temp (°C)"": 620, ""Ramp Rate (°C/min)"": 15, ""Purge Gas"": ""H2"", ""AMT:Sucrose Ratio"": 1, ""Hold Time (hr)"": 0.5, ""Flow Rate (sccm)"": 30, ""Mo (Im3m) weight fraction "": 0, ""sigma"": 0, ""Mo2C(pbcn) weight fraction"": 0, ""sigma.1"": 0, ""MoC(Fm3m) weight fraction"": 86.7, ""sigma.2"": 1, ""Rwp"": 8.41, ""GOF"": 12.85, ""X^2"": 165.21, ""MoO2(P21/c) weight fraction"": 13.3, ""sigma.3"": 3.7, ""MoC Ratio"": ""MoC.66""}"
archived-source-row-1818,moc-c26ad4ec489b41f4,0,False,historically_measured_excluded,True,810c3f7 three-seed reset excludes five earlier BO observations,810c3f7d7ecc632e4cfd422977b10b471e526f82,Metal_Sucrose_DesignSpace_fr_T1.xlsx,Design Space,1818,"1 g of ammonium heptamolybdate tetrahydrate dissolved in 5.5 mL of DI water. Separately, 1 g of sucrose dissolved in 2 mL of DI water at 50 °C. The two solutions were then combined. The combined solution was dried at 120 °C in air for 24 hours, then crushed and sieved to 212 microns. 0.6 g of the sieved precursor was carburized at a ramp rate of 10 °C/min to 630 °C for 2 hr under 60 sccm of H2 gas. After carburization the sample was cooled under 30 sccm N2 and passivated under 30 sccm 1% O2/N2 for 2 hours.","{""Carburize Temp (°C)"": 630, ""Ramp Rate (°C/min)"": 10, ""Purge Gas"": ""H2"", ""AMT:Sucrose Ratio"": 1, ""Hold Time (hr)"": 2, ""Flow Rate (sccm)"": 60, ""Mo (Im3m) weight fraction "": 0, ""sigma"": 0, ""Mo2C(pbcn) weight fraction"": 100, ""sigma.1"": 2, ""MoC(Fm3m) weight fraction"": 0, ""sigma.2"": 0, ""Rwp"": 6.93, ""GOF"": 9.81, ""X^2"": 96.13, ""MoO2(P21/c) weight fraction"": 0, ""sigma.3"": 0, ""MoC Ratio"": ""MoC.66""}"
archived-source-row-3134,moc-190190fb7a066b6e,96.5,False,historically_measured_excluded,True,810c3f7 three-seed reset excludes five earlier BO observations,810c3f7d7ecc632e4cfd422977b10b471e526f82,Metal_Sucrose_DesignSpace_fr_T1.xlsx,Design Space,3134,"1 g of ammonium heptamolybdate tetrahydrate dissolved in 4 mL of DI water. Separately, 2 g of sucrose dissolved in 3.5 mL of DI water at 50 °C. The two solutions were then combined. The combined solution was dried at 120 °C in air for 24 hours, then crushed and sieved to 212 microns. 0.6 g of the sieved precursor was carburized at a ramp rate of 10 °C/min to 690 °C for 0.5 hr under 30 sccm of N2 gas. After carburization the sample was cooled under 30 sccm N2 and passivated under 30 sccm 1% O2/N2 for 2 hours.","{""Carburize Temp (°C)"": 690, ""Ramp Rate (°C/min)"": 10, ""Purge Gas"": ""N2"", ""AMT:Sucrose Ratio"": 0.5, ""Hold Time (hr)"": 0.5, ""Flow Rate (sccm)"": 30, ""Mo (Im3m) weight fraction "": 0, ""sigma"": 0, ""Mo2C(pbcn) weight fraction"": 0, ""sigma.1"": 0, ""MoC(Fm3m) weight fraction"": 96.5, ""sigma.2"": 1.9, ""Rwp"": 5.06, ""GOF"": 8.55, ""X^2"": 73.1, ""MoO2(P21/c) weight fraction"": 0, ""sigma.3"": 0, ""MoC Ratio"": ""MoC.66""}"
