observation_id,run_id,candidate_id,moc_wt_pct,moc_wt_pct_sigma,gof,closure_gap_wt_pct,closure_gap_origin,phase_accounting_residual_wt_pct,mo_wt_pct,mo_wt_pct_sigma,mo2c_wt_pct,mo2c_wt_pct_sigma,moo2_wt_pct,moo2_wt_pct_sigma,training_included,record_status,refinement_version,objective_authority,source_commit,source_path,source_note,temperature_C,ramp_C_per_min,hold_h,gas,flow_sccm,sucrose_to_AMT_mass_ratio,AMT_to_sucrose_mass_ratio,procedure
M7-confirmed-v1,M7,moc-003ae1893b49f640,72.1,1.5,0.517,0.0,structured notebook manual override,0.0,2.2,1.5,25.7,1.5,0.0,0.0,True,measured,notebook-source; M12 objective user-confirmed 2026-09-20,crystal 810c3f7 seed source,810c3f7d7ecc632e4cfd422977b10b471e526f82,cubic_MoC_boicl_gpr_embedded.ipynb; cubic_MoC_gp_bo.ipynb,phase context from embedded notebook; noise gap override from structured notebook,800,15,0.5,N2,30,1.0,1.0,"1 g of ammonium heptamolybdate tetrahydrate dissolved in 5.5 mL of DI water. Separately, 1 g of sucrose dissolved in 2 mL of DI water at 50 °C. The two solutions were then combined. The combined solution was dried at 120 °C in air for 24 hours, then crushed and sieved to 212 microns. 0.6 g of the sieved precursor was carburized at a ramp rate of 15 °C/min to 800 °C for 0.5 hr under 30 sccm of N2 gas. After carburization the sample was cooled under 30 sccm N2 and passivated under 30 sccm 1% O2/N2 for 2 hours."
M12-confirmed-v1,M12,moc-eea2f35048fac619,83.8,5.67,0.548,0.0,structured notebook manual override,-0.3,0.0,0.0,5.7,1.2,10.8,1.39,True,measured,notebook-source; M12 objective user-confirmed 2026-09-20,user confirmed 2026-09-20,810c3f7d7ecc632e4cfd422977b10b471e526f82,cubic_MoC_boicl_gpr_embedded.ipynb; cubic_MoC_gp_bo.ipynb,M12 MoC 81.7 superseded by confirmed83.8; Mo2C sigma1.2 from notebook (workbook0); phase residual-0.3 vs source gap override0,600,15,2.0,H2,30,1.0,1.0,"1 g of ammonium heptamolybdate tetrahydrate dissolved in 5.5 mL of DI water. Separately, 1 g of sucrose dissolved in 2 mL of DI water at 50 °C. The two solutions were then combined. The combined solution was dried at 120 °C in air for 24 hours, then crushed and sieved to 212 microns. 0.6 g of the sieved precursor was carburized at a ramp rate of 15 °C/min to 600 °C for 2 hr under 30 sccm of H2 gas. After carburization the sample was cooled under 30 sccm N2 and passivated under 30 sccm 1% O2/N2 for 2 hours."
M13-confirmed-v1,M13,moc-73444accae4faefd,23.4,1.5,0.932,0.0,structured notebook manual override,0.0,0.0,0.0,76.6,1.5,0.0,0.0,True,measured,notebook-source; M12 objective user-confirmed 2026-09-20,crystal 810c3f7 seed source,810c3f7d7ecc632e4cfd422977b10b471e526f82,cubic_MoC_boicl_gpr_embedded.ipynb; cubic_MoC_gp_bo.ipynb,phase context from embedded notebook; noise gap override from structured notebook,900,15,2.0,H2,30,1.0,1.0,"1 g of ammonium heptamolybdate tetrahydrate dissolved in 5.5 mL of DI water. Separately, 1 g of sucrose dissolved in 2 mL of DI water at 50 °C. The two solutions were then combined. The combined solution was dried at 120 °C in air for 24 hours, then crushed and sieved to 212 microns. 0.6 g of the sieved precursor was carburized at a ramp rate of 15 °C/min to 900 °C for 2 hr under 30 sccm of H2 gas. After carburization the sample was cooled under 30 sccm N2 and passivated under 30 sccm 1% O2/N2 for 2 hours."
